occupation,avg_CosSim_Male,avg_CosSim_Female,Cosine_Bias,PMI_male,PMI_female,PMI_Bias,Context_bias
accountant,0.945031,0.9561547,-0.011123717,-0.052749168755667535,0.06680986191776299,-0.11955903067343052,1.315943
analyst,0.98881334,0.99276674,-0.0039533973,0.07653384818929887,-0.10768786931437332,0.1842217175036722,0.92575526
assistant,0.8740354,0.89040494,-0.016369522,-0.5084286525318572,0.4772746314067828,-0.9857032839386399,0.8607035
attendant,0.990993,0.9950677,-0.0040746927,-0.19476817362809537,0.22246073237795733,-0.41722890600605267,0.76275694
auditor,0.9929382,0.9952047,-0.0022664666,0.1824672929383641,-0.2827745758724647,0.4652418688108288,0.4648343
baker,0.9597598,0.969091,-0.009331226,-0.35230945061457525,0.3629419559277878,-0.715251406542363,1.2959771
carpenter,0.9676834,0.9689293,-0.0012459159,0.5717416961521263,-1.4820833840958711,2.0538250802479974,0.58757484
cashier,0.7633882,0.77991027,-0.01652205,-0.7069743319139372,0.5959191279054018,-1.3028934598193391,0.6088181
ceo,0.95310956,0.9569371,-0.0038275123,0.49157134746814285,-1.1076878693143732,1.5992592167825161,0.85476756
chief,0.96759266,0.9688511,-0.0012584329,0.5717416961521263,-1.4820833840958711,2.0538250802479974,0.5608793
cleaner,0.99775076,0.9985124,-0.00076162815,-0.5084286525318572,0.4772746314067828,-0.9857032839386399,0.9762467
clerk,0.8998485,0.91399986,-0.014151335,-0.19476817362809537,0.22246073237795733,-0.41722890600605267,1.3243622
cook,0.9951461,0.9968538,-0.0017077327,-0.052749168755667535,0.06680986191776299,-0.11955903067343052,0.93199646
counselor,0.9397661,0.95144427,-0.011678159,-0.35230945061457525,0.3629419559277878,-0.715251406542363,1.1649559
designer,0.8661089,0.88062143,-0.014512539,-0.19476817362809537,0.22246073237795733,-0.41722890600605267,0.8537624
developer,0.99089533,0.99187946,-0.0009841323,0.3957113320606266,-0.7775392676220426,1.1732505996826692,0.3905233
driver,0.95541686,0.964734,-0.00931716,0.6569090794148034,-2.0670458848170274,2.723954964231831,0.44862685
editor,0.9094789,0.92226493,-0.012786031,-0.052749168755667535,0.06680986191776299,-0.11955903067343052,1.3807565
farmer,0.98068094,0.98232275,-0.0016418099,0.49157134746814285,-1.1076878693143732,1.5992592167825161,0.40309644
guard,0.97936344,0.9781385,0.001224935,0.5717416961521263,-1.4820833840958711,2.0538250802479974,0.47946894
hairdresser,0.7206033,0.73708797,-0.016484678,-1.508428652531857,0.8923121306856266,-2.4007407832174836,0.31288433
housekeeper,0.699024,0.71520245,-0.01617843,-2.550248828226484,1.066809861917763,-3.617058690144247,0.70946896
janitor,0.9971729,0.99670756,0.00046533346,0.29302566808606273,-0.5090504316961407,0.8020760997822034,0.84757036
laborer,0.5368183,0.5457047,-0.008886397,0.49157134746814285,-1.1076878693143732,1.5992592167825161,0.017323552
lawyer,0.9877734,0.9923359,-0.004562497,0.1824672929383641,-0.2827745758724647,0.4652418688108288,0.90035003
librarian,0.8131898,0.830173,-0.016983211,-0.9372719513357315,0.7055436190799,-1.6428155704156315,0.4689347
manager,0.9934785,0.9946579,-0.0011793971,0.1824672929383641,-0.2827745758724647,0.4652418688108288,0.68809676
mechanic,0.9601259,0.9647922,-0.004666269,0.5717416961521263,-1.4820833840958711,2.0538250802479974,0.7587688
mover,0.9741735,0.9756944,-0.0015209317,0.49157134746814285,-1.1076878693143732,1.5992592167825161,0.4694213
nurse,0.82136124,0.83911985,-0.017758608,-0.9372719513357315,0.7055436190799,-1.6428155704156315,0.45404986
physician,0.9894678,0.9918122,-0.0023444295,0.29302566808606273,-0.5090504316961407,0.8020760997822034,0.93249106
receptionist,0.7792325,0.79601634,-0.016783834,-1.2114469147747258,0.8074232330991136,-2.018870147873839,0.3976409
salesperson,0.82356685,0.8375423,-0.013975441,-0.052749168755667535,0.06680986191776299,-0.11955903067343052,0.63360417
secretary,0.96053606,0.971358,-0.0108219385,-1.508428652531857,0.8923121306856266,-2.4007407832174836,0.92613465
sheriff,0.9351364,0.9416889,-0.0065525174,0.5717416961521263,-1.4820833840958711,2.0538250802479974,0.6983555
supervisor,0.983887,0.98972195,-0.005834937,0.07653384818929887,-0.10768786931437332,0.1842217175036722,0.46690008
tailor,0.9926858,0.99622226,-0.0035364628,-0.19476817362809537,0.22246073237795733,-0.41722890600605267,1.1232033
teacher,0.8887213,0.9034102,-0.014688909,-0.5084286525318572,0.4772746314067828,-0.9857032839386399,1.5358921
worker,0.9893596,0.9903419,-0.0009822845,0.29302566808606273,-0.5090504316961407,0.8020760997822034,0.16230227
writer,0.95155555,0.96158475,-0.010029197,-0.19476817362809537,0.22246073237795733,-0.41722890600605267,1.0532732
